frame,id,real_x,real_y
8,6,0.06,14.84
9,6,0.06,14.84
10,6,0.04,14.71
11,6,0.06,14.84
12,6,0.05,14.85
13,6,0.04,14.71
14,6,0.05,14.44
15,6,0.02,14.31
16,6,0.01,14.05
17,6,0.01,13.92
18,6,0.02,13.78
19,6,0.01,13.65
65,1,1.78,0.03
66,1,1.76,0.11
67,1,1.75,0.19
68,1,1.72,0.12
69,1,1.69,0.13
70,1,1.68,0.21
71,1,1.64,0.14
72,1,1.64,0.22
73,1,1.6,0.23
74,1,1.58,0.31
75,1,1.57,0.31
76,1,1.54,0.32
77,1,1.54,0.47
78,1,1.53,0.7
79,1,1.51,0.94
80,1,1.46,1.11
81,1,1.37,1.21
82,1,1.41,1.36
83,1,1.41,1.28
84,1,1.39,1.21
85,1,1.38,1.29
86,1,1.37,1.29
87,1,1.34,1.3
88,1,1.31,1.3
89,1,1.28,1.39
90,1,1.25,1.4
91,1,1.24,1.4
92,1,1.21,1.49
93,1,1.18,1.5
94,1,1.17,1.58
95,1,1.17,1.66
96,1,1.16,1.91
97,1,1.18,2.15
98,1,1.2,2.39
99,1,1.2,2.56
100,1,1.22,2.64
101,1,1.22,2.64
102,1,1.21,2.72
103,1,1.22,2.81
104,1,1.19,2.73
105,1,1.15,2.74
106,1,1.13,2.66
107,1,1.15,2.83
108,1,1.15,2.83
109,1,1.13,2.75
110,1,1.13,2.66
111,1,1.11,2.75
112,1,1.13,2.83
113,1,1.12,2.92
114,1,1.12,3.09
115,1,1.13,3.44
116,1,1.15,3.61
117,1,1.14,3.7
118,1,1.14,3.88
119,1,1.12,3.97
120,1,1.13,3.97
121,1,1.13,3.97
122,1,1.14,4.06
123,1,1.15,4.14
124,1,1.15,4.14
125,1,1.12,4.24
126,1,1.12,4.24
127,1,1.13,4.33
128,1,1.1,4.34
129,1,1.11,4.43
130,1,1.13,4.51
131,1,1.16,4.51
132,1,1.15,4.51
133,1,1.15,4.69
134,1,1.13,4.88
135,1,1.13,5.07
136,1,1.17,5.35
137,1,1.15,5.26
137,2,2.07,13.19
138,1,1.14,5.35
138,2,1.97,12.45
139,1,1.14,5.35
139,2,1.9,11.97
140,1,1.13,5.45
140,2,1.85,12.12
141,1,1.15,5.45
141,2,1.79,11.89
142,1,1.15,5.45
142,2,1.73,11.54
143,1,1.17,5.35
144,1,1.18,5.34
145,1,1.2,5.34
146,1,1.2,5.43
147,1,1.2,5.43
148,1,1.23,5.52
149,1,1.24,5.52
150,1,1.24,5.52
151,1,1.24,5.52
152,1,1.25,5.8
153,1,1.26,6.09
154,1,1.26,6.19
155,1,1.27,6.29
156,1,1.26,6.39
157,1,1.24,6.49
158,1,1.23,6.5
159,1,1.23,6.6
160,1,1.23,6.6
161,1,1.29,6.68
162,1,1.28,6.58
163,1,1.32,6.67
164,1,1.32,6.77
165,1,1.33,6.67
166,1,1.34,6.77
167,1,1.35,6.76
168,1,1.35,6.76
169,1,1.35,6.87
170,1,1.33,6.87
170,25,1.4,12.78
171,1,1.33,7.07
171,25,1.39,12.15
172,1,1.36,7.17
173,1,1.36,7.27
174,1,1.37,7.37
175,1,1.36,7.27
176,1,1.38,7.27
177,1,1.41,7.26
178,1,1.42,7.36
179,1,1.4,7.36
180,1,1.4,7.36
181,1,1.42,7.46
182,1,1.42,7.57
183,1,1.39,7.47
184,1,1.37,7.37
185,1,1.39,7.37
186,1,1.37,7.37
187,1,1.36,7.38
188,1,1.35,7.48
189,1,1.34,7.59
190,1,1.33,7.7
191,1,1.33,7.7
192,1,1.33,7.8
193,1,1.32,7.91
194,1,1.31,8.02
195,1,1.3,8.13
196,1,1.27,8.14
197,1,1.27,8.14
198,1,1.28,8.24
199,1,1.28,8.24
200,1,1.34,8.22
201,1,1.33,8.23
202,1,1.31,8.23
203,1,1.27,8.35
204,1,1.23,8.37
205,1,1.21,8.37
206,1,1.21,8.37
207,1,1.22,8.48
208,1,1.19,8.49
209,1,1.18,8.38
210,1,1.19,8.49
211,1,1.19,8.71
212,1,1.17,8.71
213,1,1.18,8.82
214,1,1.2,8.81
215,1,1.17,8.82
216,1,1.14,8.83
217,1,1.13,8.95
217,31,0.09,10.06
218,1,1.1,8.95
218,31,0.08,9.83
219,1,1.07,9.07
219,31,0.1,9.94
220,1,1.06,9.08
220,31,0.12,9.94
221,1,1.03,9.2
221,31,0.14,10.04
222,1,0.99,9.1
222,31,0.14,10.04
223,1,0.98,9.1
223,31,0.15,9.81
224,1,0.95,9.22
224,31,0.15,9.81
225,1,0.94,9.23
225,31,0.16,9.47
226,1,0.93,9.34
226,31,0.19,9.35
227,1,0.91,9.35
227,31,0.19,9.35
227,33,1.6,10.5
228,1,0.91,9.35
228,31,0.2,9.57
228,33,1.59,10.62
229,1,0.9,9.58
229,31,0.25,9.56
230,1,0.89,9.69
230,31,0.26,9.55
231,1,0.88,9.81
231,31,0.29,9.43
232,1,0.85,9.82
232,31,0.34,9.42
233,1,0.82,9.94
233,31,0.36,9.19
234,1,0.78,9.84
234,31,0.37,9.07
235,1,0.78,9.96
235,31,0.38,8.96
236,1,0.76,10.19
236,31,0.38,8.74
237,1,0.73,10.08
237,31,0.42,8.94
238,1,0.73,10.2
238,31,0.43,8.83
239,1,0.7,9.98
239,31,0.43,8.72
240,1,0.67,9.76
240,31,0.44,8.72
241,1,0.74,10.43
241,31,0.46,8.5
242,1,0.74,10.67
242,31,0.48,8.6
243,1,0.72,10.91
243,31,0.52,8.69
244,1,0.71,11.03
244,6,0.02,7.99
244,31,0.54,8.8
245,6,0.04,7.77
245,31,0.57,8.79
